prefecture_num,prefecture,year,month,bankruptcy
25,滋賀県,2015,3,12
26,京都府,2015,3,28
27,大阪府,2015,3,116
28,兵庫県,2015,3,53
29,奈良県,2015,3,11
30,和歌山県,2015,3,7
31,鳥取県,2015,3,2
32,島根県,2015,3,13
33,岡山県,2015,3,4
34,広島県,2015,3,17
35,山口県,2015,3,6
36,徳島県,2015,3,7
37,香川県,2015,3,7
38,愛媛県,2015,3,1
39,高知県,2015,3,5
40,福岡県,2015,3,28
41,佐賀県,2015,3,1
42,長崎県,2015,3,3
43,熊本県,2015,3,9
44,大分県,2015,3,7
45,宮崎県,2015,3,1
46,鹿児島県,2015,3,6
47,沖縄県,2015,3,9
1,北海道,2015,4,24
2,青森県,2015,4,4
3,岩手県,2015,4,5
4,宮城県,2015,4,2
5,秋田県,2015,4,3
6,山形県,2015,4,5
7,福島県,2015,4,3
8,茨城県,2015,4,10
9,栃木県,2015,4,7
10,群馬県,2015,4,6
11,埼玉県,2015,4,27
12,千葉県,2015,4,18
13,東京都,2015,4,154
14,神奈川県,2015,4,52
15,新潟県,2015,4,10
19,山梨県,2015,4,4
20,長野県,2015,4,6
21,岐阜県,2015,4,11
22,静岡県,2015,4,25
23,愛知県,2015,4,52
24,三重県,2015,4,5
16,富山県,2015,4,4
17,石川県,2015,4,9
18,福井県,2015,4,9
25,滋賀県,2015,4,11
26,京都府,2015,4,17
27,大阪府,2015,4,100
28,兵庫県,2015,4,43
29,奈良県,2015,4,12
30,和歌山県,2015,4,6
31,鳥取県,2015,4,2
32,島根県,2015,4,5
33,岡山県,2015,4,3
34,広島県,2015,4,9
35,山口県,2015,4,10
36,徳島県,2015,4,2
37,香川県,2015,4,3
38,愛媛県,2015,4,4
39,高知県,2015,4,2
40,福岡県,2015,4,37
41,佐賀県,2015,4,2
42,長崎県,2015,4,3
43,熊本県,2015,4,2
44,大分県,2015,4,6
45,宮崎県,2015,4,5
46,鹿児島県,2015,4,8
47,沖縄県,2015,4,1
1,北海道,2015,5,16
2,青森県,2015,5,6
3,岩手県,2015,5,2
4,宮城県,2015,5,4
5,秋田県,2015,5,6
6,山形県,2015,5,7
7,福島県,2015,5,3
8,茨城県,2015,5,6
9,栃木県,2015,5,9
10,群馬県,2015,5,9
11,埼玉県,2015,5,39
12,千葉県,2015,5,27
13,東京都,2015,5,126
14,神奈川県,2015,5,47
15,新潟県,2015,5,9
19,山梨県,2015,5,7
20,長野県,2015,5,8
21,岐阜県,2015,5,14
22,静岡県,2015,5,21
23,愛知県,2015,5,43
24,三重県,2015,5,12
16,富山県,2015,5,5
17,石川県,2015,5,7
18,福井県,2015,5,6
25,滋賀県,2015,5,8
26,京都府,2015,5,26
27,大阪府,2015,5,91
28,兵庫県,2015,5,45
29,奈良県,2015,5,9
30,和歌山県,2015,5,6
31,鳥取県,2015,5,2
32,島根県,2015,5,7
33,岡山県,2015,5,7
34,広島県,2015,5,11
35,山口県,2015,5,3
36,徳島県,2015,5,6
37,香川県,2015,5,3
38,愛媛県,2015,5,1
39,高知県,2015,5,4
40,福岡県,2015,5,27
41,佐賀県,2015,5,2
42,長崎県,2015,5,4
43,熊本県,2015,5,5
44,大分県,2015,5,3
45,宮崎県,2015,5,4
46,鹿児島県,2015,5,7
47,沖縄県,2015,5,4
1,北海道,2015,6,21
2,青森県,2015,6,3
3,岩手県,2015,6,5
4,宮城県,2015,6,10
5,秋田県,2015,6,5
6,山形県,2015,6,5
7,福島県,2015,6,5
8,茨城県,2015,6,5
9,栃木県,2015,6,16
10,群馬県,2015,6,13
11,埼玉県,2015,6,36
12,千葉県,2015,6,17
13,東京都,2015,6,167
14,神奈川県,2015,6,38
15,新潟県,2015,6,7
19,山梨県,2015,6,2
20,長野県,2015,6,8
21,岐阜県,2015,6,12
22,静岡県,2015,6,21
23,愛知県,2015,6,60
24,三重県,2015,6,8
16,富山県,2015,6,10
17,石川県,2015,6,5
18,福井県,2015,6,4
25,滋賀県,2015,6,8
26,京都府,2015,6,25
27,大阪府,2015,6,111
28,兵庫県,2015,6,49
29,奈良県,2015,6,18
30,和歌山県,2015,6,6
31,鳥取県,2015,6,2
32,島根県,2015,6,2
33,岡山県,2015,6,6
34,広島県,2015,6,18
35,山口県,2015,6,5
36,徳島県,2015,6,4
37,香川県,2015,6,5
38,愛媛県,2015,6,3
39,高知県,2015,6,3
40,福岡県,2015,6,45
41,佐賀県,2015,6,2
42,長崎県,2015,6,5
43,熊本県,2015,6,6
44,大分県,2015,6,3
45,宮崎県,2015,6,3
46,鹿児島県,2015,6,5
47,沖縄県,2015,6,7
1,北海道,2015,7,29
2,青森県,2015,7,3
3,岩手県,2015,7,1
4,宮城県,2015,7,7
5,秋田県,2015,7,3
6,山形県,2015,7,8
7,福島県,2015,7,1
8,茨城県,2015,7,15
9,栃木県,2015,7,13
10,群馬県,2015,7,11
11,埼玉県,2015,7,28
12,千葉県,2015,7,21
13,東京都,2015,7,185
14,神奈川県,2015,7,34
15,新潟県,2015,7,6
19,山梨県,2015,7,2
20,長野県,2015,7,8
21,岐阜県,2015,7,10
22,静岡県,2015,7,23
23,愛知県,2015,7,46
24,三重県,2015,7,7
16,富山県,2015,7,8
17,石川県,2015,7,6
18,福井県,2015,7,4
25,滋賀県,2015,7,11
26,京都府,2015,7,16
27,大阪府,2015,7,106
28,兵庫県,2015,7,40
29,奈良県,2015,7,19
30,和歌山県,2015,7,11
31,鳥取県,2015,7,3
32,島根県,2015,7,5
33,岡山県,2015,7,5
34,広島県,2015,7,18
35,山口県,2015,7,2
36,徳島県,2015,7,4
37,香川県,2015,7,2
38,愛媛県,2015,7,6
39,高知県,2015,7,2
40,福岡県,2015,7,26
41,佐賀県,2015,7,2
42,長崎県,2015,7,2
43,熊本県,2015,7,9
44,大分県,2015,7,6
45,宮崎県,2015,7,3
46,鹿児島県,2015,7,6
47,沖縄県,2015,7,4
1,北海道,2015,8,26
2,青森県,2015,8,3
3,岩手県,2015,8,5
4,宮城県,2015,8,4
5,秋田県,2015,8,2
6,山形県,2015,8,2
7,福島県,2015,8,5
8,茨城県,2015,8,6
9,栃木県,2015,8,8
10,群馬県,2015,8,6
11,埼玉県,2015,8,19
12,千葉県,2015,8,16
13,東京都,2015,8,130
14,神奈川県,2015,8,37
15,新潟県,2015,8,5
19,山梨県,2015,8,3
20,長野県,2015,8,5
21,岐阜県,2015,8,8
22,静岡県,2015,8,18
23,愛知県,2015,8,39
24,三重県,2015,8,10
16,富山県,2015,8,3
17,石川県,2015,8,5
18,福井県,2015,8,2
25,滋賀県,2015,8,8
26,京都府,2015,8,17
27,大阪府,2015,8,99
28,兵庫県,2015,8,38
29,奈良県,2015,8,6
30,和歌山県,2015,8,4
31,鳥取県,2015,8,0
32,島根県,2015,8,2
33,岡山県,2015,8,6
34,広島県,2015,8,9
35,山口県,2015,8,3
36,徳島県,2015,8,2
37,香川県,2015,8,2
38,愛媛県,2015,8,5
39,高知県,2015,8,3
40,福岡県,2015,8,28
41,佐賀県,2015,8,4
42,長崎県,2015,8,4
43,熊本県,2015,8,8
44,大分県,2015,8,3
45,宮崎県,2015,8,3
46,鹿児島県,2015,8,5
47,沖縄県,2015,8,6
1,北海道,2015,9,22
2,青森県,2015,9,4
3,岩手県,2015,9,2
4,宮城県,2015,9,7
5,秋田県,2015,9,4
6,山形県,2015,9,1
7,福島県,2015,9,2
8,茨城県,2015,9,11
9,栃木県,2015,9,18
10,群馬県,2015,9,11
11,埼玉県,2015,9,27
12,千葉県,2015,9,14
13,東京都,2015,9,119
14,神奈川県,2015,9,44
15,新潟県,2015,9,8
19,山梨県,2015,9,3
20,長野県,2015,9,10
21,岐阜県,2015,9,7
22,静岡県,2015,9,27
23,愛知県,2015,9,48
24,三重県,2015,9,8
16,富山県,2015,9,3
17,石川県,2015,9,4
18,福井県,2015,9,2
25,滋賀県,2015,9,5
26,京都府,2015,9,20
27,大阪府,2015,9,86
28,兵庫県,2015,9,40
29,奈良県,2015,9,9
30,和歌山県,2015,9,6
31,鳥取県,2015,9,3
32,島根県,2015,9,5
33,岡山県,2015,9,3
34,広島県,2015,9,20
35,山口県,2015,9,3
36,徳島県,2015,9,1
37,香川県,2015,9,2
38,愛媛県,2015,9,4
39,高知県,2015,9,3
40,福岡県,2015,9,23
41,佐賀県,2015,9,3
42,長崎県,2015,9,1
43,熊本県,2015,9,7
44,大分県,2015,9,6
45,宮崎県,2015,9,4
46,鹿児島県,2015,9,5
47,沖縄県,2015,9,8
1,北海道,2015,10,22
2,青森県,2015,10,8
3,岩手県,2015,10,4
4,宮城県,2015,10,9
5,秋田県,2015,10,4
6,山形県,2015,10,4
7,福島県,2015,10,3
8,茨城県,2015,10,7
9,栃木県,2015,10,14
10,群馬県,2015,10,9
