date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2020/2/18,30,2020,2,61,13,33,9,3
2020/2/19,30,2020,2,49,16,33,12,2
2020/2/20,30,2020,2,58,17,35,13,7
2020/2/21,30,2020,2,57,21,38,9,2
2020/2/22,30,2020,2,55,33,37,3,9
2020/2/23,30,2020,2,78,17,35,10,5
2020/2/24,30,2020,2,55,22,37,15,3
2020/2/25,30,2020,2,65,17,35,14,1
2020/2/26,30,2020,2,49,8,34,3,1
2020/2/27,30,2020,2,28,9,30,7,2
2020/2/28,30,2020,2,32,10,22,11,1
2020/2/29,30,2020,2,34,12,35,7,2
2020/3/1,30,2020,3,40,16,38,7,5
2020/3/2,30,2020,3,49,12,32,5,1
2020/3/3,30,2020,3,40,13,18,15,1
2020/3/4,30,2020,3,38,15,40,4,4
2020/3/5,30,2020,3,51,17,38,7,2
2020/3/6,30,2020,3,58,19,32,13,5
2020/3/7,30,2020,3,56,12,33,5,1
2020/3/8,30,2020,3,35,15,37,13,3
2020/3/9,30,2020,3,51,23,33,13,2
2020/3/10,30,2020,3,55,20,41,5,18
2020/3/11,30,2020,3,54,16,39,7,3
2020/3/12,30,2020,3,50,20,40,12,8
2020/3/13,30,2020,3,58,14,37,7,3
2020/3/14,30,2020,3,46,15,39,6,5
2020/3/15,30,2020,3,45,12,35,3,3
2020/3/16,30,2020,3,41,14,41,10,4
2020/3/17,30,2020,3,50,22,50,10,5
2020/3/18,30,2020,3,63,24,43,10,7
2020/3/19,30,2020,3,66,19,37,6,10
2020/3/20,30,2020,3,55,21,38,14,4
2020/3/21,30,2020,3,58,27,46,12,6
2020/3/22,30,2020,3,69,20,41,5,4
2020/3/23,30,2020,3,60,16,40,3,2
2020/3/24,30,2020,3,57,14,39,8,3
2020/3/25,30,2020,3,53,22,42,16,8
2020/3/26,30,2020,3,64,29,39,8,3
2020/3/27,30,2020,3,63,16,33,8,1
2020/3/28,30,2020,3,38,6,37,2,1
2020/3/29,30,2020,3,23, , , , 
2019/10/1,30,2019,10,70,20,28,7,4
2019/10/2,30,2019,10,53,19,37,7,3
2019/10/3,30,2019,10,47,20,39,6,6
2019/10/4,30,2019,10,48,17,45,5,2
2019/10/5,30,2019,10,49,15,30,4,2
2019/10/6,30,2019,10,42,18,42,9,9
2019/10/7,30,2019,10,47,16,31,9,3
2019/10/8,30,2019,10,41,13,39,6,3
2019/10/9,30,2019,10,40,21,66,12,4
2019/10/10,30,2019,10,57,19,31,8,3
2019/10/11,30,2019,10,48,13,30,4,2
2019/10/12,30,2019,10,22,13,30,2,2
2019/10/13,30,2019,10,31,19,22,6,2
2019/10/14,30,2019,10,48,14,34,5,2
2019/10/15,30,2019,10,37,14,39,8,2
2019/10/16,30,2019,10,43,17,30,11,2
2019/10/17,30,2019,10,51,13,30,10,2
2019/10/18,30,2019,10,37,15,23,8,2
2019/10/19,30,2019,10,31,10,37,4,3
2019/10/20,30,2019,10,30,14,27,9,1
2019/10/21,30,2019,10,34,11,36,4,2
2019/10/22,30,2019,10,33,16,39,10,3
2019/10/23,30,2019,10,45,14,25,9,2
2019/10/24,30,2019,10,35,8,33,8,2
2019/10/25,30,2019,10,21,11,29,7,2
2019/10/26,30,2019,10,30,16,43,4,4
2019/10/27,30,2019,10,49,17,37,9,3
2019/10/28,30,2019,10,52,17,23,10,2
2019/10/29,30,2019,10,45,32,43,7,5
2019/10/30,30,2019,10,71,43,41,10,5
2019/10/31,30,2019,10,91,30,43,8,3
2019/11/1,30,2019,11,73,22,38,9,2
2019/11/2,30,2019,11,55,25,36,8,3
2019/11/3,30,2019,11,62,16,33,4,2
2019/11/4,30,2019,11,41,15,33,10,3
2019/11/5,30,2019,11,38,14,33,9,2
2019/11/6,30,2019,11,42,16,32,10,4
2019/11/7,30,2019,11,50,16,36,7,3
2019/11/8,30,2019,11,50,14,36,8,2
2019/11/9,30,2019,11,45,13,34,6,2
2019/11/10,30,2019,11,43,25,47,6,6
2019/11/11,30,2019,11,56,16,41,9,3
2019/11/12,30,2019,11,49,16,46,11,11
2019/11/13,30,2019,11,52,21,37,5,3
2019/11/14,30,2019,11,51,12,29,9,2
2019/11/15,30,2019,11,35,19,30,10,4
2019/11/16,30,2019,11,49,23,43,6,2
2019/11/17,30,2019,11,62,26,43,9,3
2019/11/18,30,2019,11,59,18,33,5,5
2019/11/19,30,2019,11,42,11,32,5,3
2019/11/20,30,2019,11,31,9,28,9,2
2019/11/21,30,2019,11,27,15,15,15,1
2019/11/22,30,2019,11,45,17,30,14,2
2019/11/23,30,2019,11,54,20,15,13,3
2019/11/24,30,2019,11,59,18,27,11,2
2019/11/25,30,2019,11,47,10,28,8,1
2019/11/26,30,2019,11,34,14,18,13,2
2019/11/27,30,2019,11,46,10,29,6,2
2019/11/28,30,2019,11,30,9,30,8,2
2019/11/29,30,2019,11,29,10,32,8,2
2019/11/30,30,2019,11,35,12,35,8,2
2019/12/1,30,2019,12,46,15,32,10,4
2019/12/2,30,2019,12,41,11,34,5,6
2019/12/3,30,2019,12,38,12,33,8,3
2019/12/4,30,2019,12,39,12,34,8,6
2019/12/5,30,2019,12,41,8,33,6,4
2019/12/6,30,2019,12,27,11,24,11,2
2019/12/7,30,2019,12,37,13,32,7,2
2019/12/8,30,2019,12,44,14,28,11,4
2019/12/9,30,2019,12,50,23,29,15,3
2019/12/10,30,2019,12,67,37,20,18,3
2019/12/11,30,2019,12,88,21,32,8,2
2019/12/12,30,2019,12,56,9,25,11,2
2019/12/13,30,2019,12,34,15,30,10,3
2019/12/14,30,2019,12,49,12,30,4,2
2019/12/15,30,2019,12,40,19,21,15,3
2019/12/16,30,2019,12,58,29,13,19,3
2019/12/17,30,2019,12,67,33,25,15,2
2019/12/18,30,2019,12,68,23,22,15,2
2019/12/19,30,2019,12,64,15,32,9,4
2019/12/20,30,2019,12,48,14,28,10,2
2019/12/21,30,2019,12,52,13,31,7,2
2019/12/22,30,2019,12,45,14,30,11,6
2019/12/23,30,2019,12,42,14,28,14,2
2019/12/24,30,2019,12,46,17,26,15,7
2019/12/25,30,2019,12,54,18,18,14,2
2019/12/26,30,2019,12,54,13,31,8,6
2019/12/27,30,2019,12,43,11,30,8,2
2019/12/28,30,2019,12,44,15,27,9,3
2019/12/29,30,2019,12,51, , , , 
2019/7/1,30,2019,7,39,27,45,11,9
2019/7/2,30,2019,7,59,32,31,11,11
2019/7/3,30,2019,7,61,28,49,9,7
2019/7/4,30,2019,7,52,33,49,12,4
2019/7/5,30,2019,7,61,15,50,5,2
2019/7/6,30,2019,7,21,21,49,5,6
2019/7/7,30,2019,7,52,28,41,14,12
2019/7/8,30,2019,7,63,21,30,36,2
2019/7/9,30,2019,7,45,24,31,24,6
2019/7/10,30,2019,7,45,20,21,19,4
2019/7/11,30,2019,7,44,27,47,7,6
2019/7/12,30,2019,7,51,25,38,7,3
2019/7/13,30,2019,7,55,17,34,6,2
2019/7/14,30,2019,7,35,16,44,5,4
2019/7/15,30,2019,7,37,24,42,8,5
2019/7/16,30,2019,7,55,23,27,6,11
2019/7/17,30,2019,7,53,20,14,5,6
2019/7/18,30,2019,7,38,14,15,6,3
2019/7/19,30,2019,7,17,16,6,3,6
2019/7/20,30,2019,7,25,20,9,2,6
