表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公開日：,2021年3月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A1301,,A130101,,A130102,,A1302,,A130201,,A130202,,A1303,,A130301,,A130302,,A1304,,A130401,,A130402,,A1305,,A130501,,A130502,,A1306,,A130601,,A130602,
調査年 コード,調査年,地域 コード,地域,/項目,A1301_15歳未満人口【人】,注釈,A130101_15歳未満人口（男）【人】,注釈,A130102_15歳未満人口（女）【人】,注釈,A1302_15～64歳人口【人】,注釈,A130201_15～64歳人口（男）【人】,注釈,A130202_15～64歳人口（女）【人】,注釈,A1303_65歳以上人口【人】,注釈,A130301_65歳以上人口（男）【人】,注釈,A130302_65歳以上人口（女）【人】,注釈,A1304_15歳未満人口割合【％】,注釈,A130401_15歳未満人口割合（男）【％】,注釈,A130402_15歳未満人口割合（女）【％】,注釈,A1305_15～64歳人口割合【％】,注釈,A130501_15～64歳人口割合（男）【％】,注釈,A130502_15～64歳人口割合（女）【％】,注釈,A1306_65歳以上人口割合【％】,注釈,A130601_65歳以上人口割合（男）【％】,注釈,A130602_65歳以上人口割合（女）【％】,注釈
2018100000,2018年度,17000,石川県,,"143,000",,"73,000",,"70,000",,"667,000",,"339,000",,"328,000",,"334,000",,"143,000",,"191,000",,12.5,,13.1,,11.9,,58.3,,61.1,,55.6,,29.2,,25.8,,32.5,
2018100000,2018年度,18000,福井県,,"99,000",,"51,000",,"48,000",,"441,000",,"224,000",,"217,000",,"234,000",,"101,000",,"133,000",,12.8,,13.5,,12.1,,57,,59.6,,54.6,,30.2,,27,,33.3,
2018100000,2018年度,19000,山梨県,,"97,000",,"50,000",,"47,000",,"473,000",,"242,000",,"231,000",,"248,000",,"109,000",,"139,000",,11.9,,12.4,,11.4,,57.8,,60.4,,55.3,,30.3,,27.2,,33.3,
2018100000,2018年度,20000,長野県,,"255,000",,"131,000",,"124,000",,"1,158,000",,"590,000",,"567,000",,"651,000",,"285,000",,"365,000",,12.4,,13,,11.8,,56.1,,58.7,,53.7,,31.5,,28.4,,34.6,
2018100000,2018年度,21000,岐阜県,,"253,000",,"130,000",,"123,000",,"1,148,000",,"577,000",,"571,000",,"595,000",,"261,000",,"334,000",,12.7,,13.4,,12,,57.5,,59.6,,55.6,,29.8,,27,,32.4,
2018100000,2018年度,22000,静岡県,,"456,000",,"234,000",,"222,000",,"2,122,000",,"1,092,000",,"1,031,000",,"1,081,000",,"478,000",,"604,000",,12.5,,13,,12,,58,,60.5,,55.5,,29.5,,26.5,,32.5,
2018100000,2018年度,23000,愛知県,,"1,002,000",,"513,000",,"489,000",,"4,659,000",,"2,420,000",,"2,239,000",,"1,875,000",,"837,000",,"1,039,000",,13.3,,13.6,,13,,61.8,,64.2,,59.4,,24.9,,22.2,,27.6,
2018100000,2018年度,24000,三重県,,"222,000",,"113,000",,"109,000",,"1,042,000",,"531,000",,"511,000",,"527,000",,"230,000",,"297,000",,12.4,,13,,11.9,,58.2,,60.7,,55.8,,29.4,,26.3,,32.4,
2018100000,2018年度,25000,滋賀県,,"197,000",,"101,000",,"96,000",,"852,000",,"434,000",,"418,000",,"363,000",,"162,000",,"201,000",,14,,14.5,,13.4,,60.3,,62.2,,58.5,,25.7,,23.2,,28.1,
2018100000,2018年度,26000,京都府,,"304,000",,"156,000",,"148,000",,"1,539,000",,"762,000",,"777,000",,"749,000",,"321,000",,"428,000",,11.7,,12.6,,10.9,,59.4,,61.5,,57.4,,28.9,,25.9,,31.6,
2018100000,2018年度,27000,大阪府,,"1,056,000",,"540,000",,"516,000",,"5,336,000",,"2,643,000",,"2,693,000",,"2,420,000",,"1,048,000",,"1,372,000",,12,,12.8,,11.3,,60.6,,62.5,,58.8,,27.5,,24.8,,29.9,
