date, pm25, pm10, o3, no2, so2
2018/10/9, 37, 10, 34, 3, 2
2018/10/10, 48, 11, 23, 5, 1
2018/10/11, 28, 7, 23, 2, 1
2018/10/12, 18, 7, 29, 2, 1
2018/10/13, 24, 8, 30, 3, 1
2018/10/14, 25, 10, 28, 5, 1
2018/10/15, 39, 13, 28, 4, 1
2018/10/16, 38, 11, 28, 3, 1
2018/10/17, 41, 9, 31, 3, 1
2018/10/18, 35, 8, 28, 3, 1
2018/10/19, 28, 8, 32, 2, 1
2018/10/20, 29, 8, 34, 4, 1
2018/10/21, 35, 9, 35, 4, 1
2018/10/22, 42, 14, 21, 3, 1
2018/10/23, 43, 10, 31, 3, 1
2018/10/24, 37, 18, 37, 5, 1
2018/10/25, 47, 18, 35, 4, 1
2018/10/26, 54, 16, 29, 5, 1
2018/10/27, 53, 10, 30, 4, 1
2018/10/28, 32, 9, 39, 3, 1
2018/10/29, 58, 7, 38, 2, 1
2018/10/30, 54, 5, 25, 5, 
2018/10/31, 36, 6, 30, 5, 1
2018/11/1, 45, 7, 27, 7, 1
2018/11/2, 41, 9, 37, 4, 1
2018/11/3, 40, 13, 38, 4, 1
2018/11/4, 48, 13, 34, 5, 1
2018/11/5, 42, 12, 21, 8, 
2018/11/6, 32, 11, 33, 5, 1
2018/11/7, 27, 15, 35, 4, 1
2018/11/8, 43, 13, 19, 7, 
2018/11/9, 37, 10, 29, 5, 
2018/11/10, 35, 18, 38, 5, 1
2018/11/11, 52, 21, 29, 7, 1
2018/11/12, 68, 12, 30, 6, 1
2018/11/13, 32, 6, 32, 5, 1
2018/11/14, 26, 7, 29, 7, 1
2018/11/15, 33, 9, 27, 7, 1
2018/11/16, 37, 11, 33, 5, 1
2018/11/17, 43, 7, 28, 4, 2
2018/11/18, 29, 11, 27, 5, 1
2018/11/19, 38, 8, 29, 6, 1
2018/11/20, 27, 14, 27, 9, 1
2018/11/21, 47, 13, 20, 8, 
2018/11/22, 47, 6, 26, 6, 
2018/11/23, 32, 4, 25, 4, 2
2018/11/24, 23, 9, 30, 6, 1
2018/11/25, 43, 14, 31, 10, 
2018/11/26, 50, 15, 26, 11, 1
2018/11/27, 52, 20, 36, 10, 1
2018/11/28, 58, 14, 27, 8, 1
2018/11/29, 41, 8, 29, 6, 1
2018/11/30, 17, 7, 32, 5, 1
2018/12/1, 47, 11, 27, 4, 1
2018/12/2, 42, 21, 20, 13, 1
