date, pm25, pm10, o3, no2, so2
2019/11/28, 23, , 27, 2, 
2019/11/29, 18, , 23, 2, 1
2019/11/30, 27, , 25, 1, 6
2019/12/1, 56, , 32, 2, 1
2019/12/2, 28, , 28, 2, 
2019/12/3, 31, , 32, 2, 1
2019/12/4, 35, , 32, 3, 2
2019/12/5, 41, , 30, 3, 1
2019/12/6, 26, , 29, 3, 1
2019/12/7, 28, , 28, 2, 1
2019/12/8, 42, , 21, 4, 1
2019/12/9, 53, 19, 21, 3, 
2019/12/10, 50, 19, 17, 4, 2
2019/12/11, 67, 11, 29, 2, 1
2019/12/12, 41, 9, 19, 3, 1
2019/12/13, 21, 14, 36, 3, 
2019/12/14, 39, 12, 28, 3, 1
2019/12/15, 39, 18, 18, 3, 2
2019/12/16, 61, , 17, 3, 1
2019/12/17, 51, , 31, 3, 
2019/12/18, 57, , 29, 3, 1
2019/12/19, 44, , 28, 3, 1
2019/12/20, 42, , 24, 6, 2
2019/12/21, 52, , 31, 3, 1
2019/12/22, 26, , 27, 2, 
2019/12/23, 38, , 22, 4, 2
2019/12/24, 72, , 5, 4, 
2019/12/25, 45, , 25, 3, 
2019/12/26, 24, , 30, 2, 
2019/12/27, 33, , 21, 2, 1
2019/12/28, 34, , 12, 2, 2
2019/12/29, 49, , , , 
2019/7/1, 34, 15, 32, 1, 
2019/7/2, 55, 8, 30, 1, 
2019/7/3, 30, 12, 49, 2, 
2019/7/4, 76, 21, 39, 3, 1
2019/7/5, 70, 21, 46, 2, 1
2019/7/6, 64, 20, 35, 1, 3
2019/7/7, 64, 17, 39, 3, 1
2019/7/8, 66, 16, 34, 2, 3
2019/7/9, 57, 6, 26, 2, 3
2019/7/10, 29, 7, 28, 1, 
2019/7/11, 24, 8, 33, 1, 
2019/7/12, 33, 4, 27, 1, 1
2019/7/13, 18, 7, 32, 1, 
2019/7/14, 25, 6, 37, 1, 1
2019/7/15, 33, 13, 35, 1, 1
2019/7/16, 54, 25, 26, 1, 3
2019/7/17, 75, 11, 10, 1, 1
2019/7/18, 36, 5, 6, 1, 3
2019/7/19, 16, 3, 16, 1, 3
2019/7/20, 14, 3, 27, 1, 1
2019/7/21, 8, 7, 14, 1, 1
2019/7/22, 23, 7, 9, 1, 
2019/7/23, 23, 4, 12, 1, 1
2019/7/24, 19, 9, 12, 1, 
2019/7/25, 19, 5, 18, 1, 
2019/7/26, 23, 5, 15, 1, 
2019/7/27, 21, 8, 14, 1, 
2019/7/28, 30, 7, 9, 1, 2
2019/7/29, 25, 11, 11, 1, 
2019/7/30, 20, 12, 16, 1, 5
2019/7/31, 37, 18, 23, 1, 2
2019/8/1, 51, 21, 40, 3, 3
2019/8/2, 63, 27, 37, 2, 1
2019/8/3, 70, 23, 39, 1, 2
2019/8/4, 62, 23, 48, 4, 2
2019/8/5, 62, 6, 20, 2, 2
2019/8/6, 18, 12, 16, 1, 2
2019/8/7, 31, 16, 19, 2, 7
2019/8/8, 41, 17, 13, 1, 5
2019/8/9, 47, 28, 17, 1, 16
2019/8/10, 76, 12, 16, 1, 5
2019/8/11, 32, 14, 18, 1, 9
2019/8/12, 39, 11, 34, 2, 2
2019/8/13, 29, 11, 21, 3, 2
2019/8/14, 24, 11, 26, 1, 1
2019/8/15, 20, , 34, 2, 1
2019/8/16, 45, , 41, 2, 1
2019/8/17, 70, , 27, 2, 2
2019/8/18, 64, , 24, 2, 2
2019/8/19, 60, , 18, 1, 1
2019/8/20, 22, , 11, 1, 1
2019/8/21, 32, , 9, 1, 1
2019/8/22, 26, , 27, 1, 1
2019/8/23, 39, , 29, 1, 1
2019/8/24, 52, , 24, 1, 1
2019/8/25, 31, , 27, 2, 1
2019/8/26, 15, , 11, 2, 1
2019/8/27, 11, , 20, 1, 
2019/8/28, 13, , 22, 1, 1
2019/8/29, 14, , 31, 2, 
2019/8/30, 37, , 29, 2, 
2019/8/31, 44, , 17, 1, 
2019/9/1, 28, , 7, 1, 1
2019/9/2, 20, , 13, 2, 4
2019/9/3, 29, , 6, 1, 2
2019/9/4, 27, , 14, 1, 6
2019/9/5, 38, , 11, 1, 8
2019/9/6, 24, , 13, 1, 4
2019/9/7, 18, , 16, 1, 2
2019/9/8, 26, , 14, 1, 2
2019/9/9, 29, , 21, 1, 2
2019/9/10, 56, , 19, 1, 2
2019/9/11, 46, , 36, 2, 1
2019/9/12, 43, , 40, 4, 2
2019/9/13, 41, , 37, 1, 11
2019/9/14, 61, , 38, 2, 2
2019/9/15, 54, , 32, 1, 
2019/9/16, 29, , 32, 2, 1
2019/9/17, 27, , 33, 1, 1
2019/9/18, 26, , 35, 2, 1
2019/9/19, 31, , 37, 3, 2
2019/9/20, 30, , 30, 1, 4
2019/9/21, 25, , 26, 1, 1
2019/9/22, 19, , 33, , 1
2019/9/23, 10, , 31, 1, 1
2019/9/24, 19, , 35, 3, 3
2019/9/25, 36, , 15, 1, 4
2019/9/26, 71, , 23, 2, 3
2019/9/27, 55, , 22, 1, 3
2019/9/28, 40, , 10, 1, 1
2019/9/29, 42, , 9, 1, 1
2019/9/30, 36, , 7, 3, 
2019/4/1, 41, 3, 45, 3, 2
2019/4/2, 48, 3, 47, 3, 2
