date, pm25, pm10, o3, no2, so2
2019/10/22, 33, 16, 39, 10, 3
2019/10/23, 45, 14, 25, 9, 2
2019/10/24, 35, 8, 33, 8, 2
2019/10/25, 21, 11, 29, 7, 2
2019/10/26, 30, 16, 43, 4, 4
2019/10/27, 49, 17, 37, 9, 3
2019/10/28, 52, 17, 23, 10, 2
2019/10/29, 45, 32, 43, 7, 5
2019/10/30, 71, 43, 41, 10, 5
2019/10/31, 91, 30, 43, 8, 3
2019/11/1, 73, 22, 38, 9, 2
2019/11/2, 55, 25, 36, 8, 3
2019/11/3, 62, 16, 33, 4, 2
2019/11/4, 41, 15, 33, 10, 3
2019/11/5, 38, 14, 33, 9, 2
2019/11/6, 42, 16, 32, 10, 4
2019/11/7, 50, 16, 36, 7, 3
2019/11/8, 50, 14, 36, 8, 2
2019/11/9, 45, 13, 34, 6, 2
2019/11/10, 43, 25, 47, 6, 6
2019/11/11, 56, 16, 41, 9, 3
2019/11/12, 49, 16, 46, 11, 11
2019/11/13, 52, 21, 37, 5, 3
2019/11/14, 51, 12, 29, 9, 2
2019/11/15, 35, 19, 30, 10, 4
2019/11/16, 49, 23, 43, 6, 2
2019/11/17, 62, 26, 43, 9, 3
2019/11/18, 59, 18, 33, 5, 5
2019/11/19, 42, 11, 32, 5, 3
2019/11/20, 31, 9, 28, 9, 2
2019/11/21, 27, 15, 15, 15, 1
2019/11/22, 45, 17, 30, 14, 2
2019/11/23, 54, 20, 15, 13, 3
2019/11/24, 59, 18, 27, 11, 2
2019/11/25, 47, 10, 28, 8, 1
2019/11/26, 34, 14, 18, 13, 2
2019/11/27, 46, 10, 29, 6, 2
2019/11/28, 30, 9, 30, 8, 2
2019/11/29, 29, 10, 32, 8, 2
2019/11/30, 35, 12, 35, 8, 2
2019/12/1, 46, 15, 32, 10, 4
2019/12/2, 41, 11, 34, 5, 6
2019/12/3, 38, 12, 33, 8, 3
2019/12/4, 39, 12, 34, 8, 6
2019/12/5, 41, 8, 33, 6, 4
2019/12/6, 27, 11, 24, 11, 2
2019/12/7, 37, 13, 32, 7, 2
2019/12/8, 44, 14, 28, 11, 4
2019/12/9, 50, 23, 29, 15, 3
2019/12/10, 67, 37, 20, 18, 3
2019/12/11, 88, 21, 32, 8, 2
2019/12/12, 56, 9, 25, 11, 2
2019/12/13, 34, 15, 30, 10, 3
2019/12/14, 49, 12, 30, 4, 2
2019/12/15, 40, 19, 21, 15, 3
2019/12/16, 58, 29, 13, 19, 3
2019/12/17, 67, 33, 25, 15, 2
2019/12/18, 68, 23, 22, 15, 2
2019/12/19, 64, 15, 32, 9, 4
2019/12/20, 48, 14, 28, 10, 2
2019/12/21, 52, 13, 31, 7, 2
2019/12/22, 45, 14, 30, 11, 6
2019/12/23, 42, 14, 28, 14, 2
2019/12/24, 46, 17, 26, 15, 7
2019/12/25, 54, 18, 18, 14, 2
2019/12/26, 54, 13, 31, 8, 6
2019/12/27, 43, 11, 30, 8, 2
2019/12/28, 44, 15, 27, 9, 3
2019/12/29, 51, , , , 
2019/7/1, 39, 27, 45, 11, 9
2019/7/2, 59, 32, 31, 11, 11
2019/7/3, 61, 28, 49, 9, 7
2019/7/4, 52, 33, 49, 12, 4
2019/7/5, 61, 15, 50, 5, 2
2019/7/6, 21, 21, 49, 5, 6
2019/7/7, 52, 28, 41, 14, 12
2019/7/8, 63, 21, 30, 36, 2
2019/7/9, 45, 24, 31, 24, 6
2019/7/10, 45, 20, 21, 19, 4
2019/7/11, 44, 27, 47, 7, 6
2019/7/12, 51, 25, 38, 7, 3
2019/7/13, 55, 17, 34, 6, 2
2019/7/14, 35, 16, 44, 5, 4
2019/7/15, 37, 24, 42, 8, 5
2019/7/16, 55, 23, 27, 6, 11
2019/7/17, 53, 20, 14, 5, 6
2019/7/18, 38, 14, 15, 6, 3
2019/7/19, 17, 16, 6, 3, 6
2019/7/20, 25, 20, 9, 2, 6
2019/7/21, 39, 28, 13, 3, 11
